titles,genres,score,reviewed_by
Mass Effect Legendary Edition  Part 3: Mass Effect 3,RPG,8,Dan Stapleton
Call of Duty: Vanguard - Single-Player Campaign ,Shooter,7,Simon Cardy
Shin Megami Tensei V ,RPG,8,Leana Hafer
Forza Horizon 5 ,Sports,10,Luke Reilly
Riders Republic ,Sports,8,Travis Northup
Darkest Dungeon 2 Early Access ,RPG,7,Rowan Kaiser 
Unpacking ,Puzzle,8,Sarah LeBoeuf
Fracked ,Adventure,7,Chris Reed
Disciples: Liberation ,Strategy,7,Jon Bolding
Inscryption ,Adventure,9,Tom Marks
Marvel's Guardians of the Galaxy ,RPG,8,Tom Marks
Age of Empires 4 ,Strategy,8,Leana Hafer
Lone Echo 2 ,Action,6,Jordan Oloman 
The Riftbreaker ,Strategy,8,Travis Northup
The Dark Pictures Anthology: House of Ashes ,Adventure,8,Ricky Frech
Resident Evil 4 VR ,Action,9,Taylor Lyles
NHL 22 ,Sports,6,Matt Paprocki
Back 4 Blood ,Shooter,8,Kyle Campbell
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles ,Action,7,Will Borger
Metroid Dread ,Adventure,9,Samuel Claiborn
Far Cry 6 ,Shooter,8,Jon Ryan
Alan Wake Remastered ,Action,7,Tristan Ogilvie
Astria Ascending ,RPG,6,Cameron Hawkins
FIFA 22 Legacy Edition (Switch) ,Sports,2,Simon Cardy
Diablo 2: Resurrected ,RPG,7,Jon Bolding
Pathfinder: Wrath of the Righteous ,RPG,8,Rowan Kaiser 
Super Monkey Ball: Banana Mania ,Puzzle,6,Sarah LeBoeuf
Outer Wilds: Echoes of the Eye DLC ,Adventure,8,Tom Marks
FIFA 22 ,Sports,7,Jordan Oloman 
Hot Wheels Unleashed ,Racing,9,Luke Reilly
World War Z: Aftermath ,Action,8,Travis Northup
Death Stranding Director's Cut ,Adventure,7,Tristan Ogilvie
Sable ,Adventure,7,Travis Northup
Kena: Bridge of Spirits ,Platformer,8,Mitchell Saltzman
Eastward ,RPG,8,Jon Bolding
Lost Judgment ,Adventure,7,Tristan Ogilvie
Skatebird ,Sports,5,Luke Reilly
Aragami 2 ,Action,5,Kyle Campbell
I Am Fish ,Puzzle,7,Travis Northup
Lost in Random ,Adventure,8,Gabriel Moss
NBA 2K22 ,Sports,7,Ricky Frech
Deathloop ,Action,10,Matt Purslow
Tales of Arise ,RPG,9,Terence Wiggins
Clid The Snail ,Shooter,5,Jarrett Green
Life is Strange: True Colors ,Adventure,9,Taylor Lyles
The Artful Escape ,Platformer,8,Tristan Ogilvie
Baldo: The Guardian Owls ,Adventure,4,Gabriel Moss
WRC 10 ,Racing,8,Luke Reilly
King's Bounty 2 ,Strategy,6,Leana Hafer
Sonic Colors: Ultimate ,Platformer,8,Mitchell Saltzman
Maneater: Truth Quest ,Action,6,Travis Northup
No More Heroes 3 ,Action,6,Matt Kim
Naraka: Bladepoint ,Action,8,Kyle Campbell
I Expect You To Die 2 ,Puzzle,8,Gabriel Moss
Aliens: Fireteam Elite ,Shooter,7,Kyle Campbell
Hoa ,Platformer,7,Tristan Ogilvie
Psychonauts 2 ,Platformer,8,Tom Marks
Madden NFL 22 ,Sports,6,Kat Bailey
Ghost of Tsushima: Iki Island DLC ,Adventure,8,Mitchell Saltzman
Recompile ,Adventure,6,Travis Northup
Twelve Minutes ,Adventure,8,Ryan McCaffrey
Humankind ,Strategy,7,Leana Hafer
Road 96 ,Adventure,8,Tristan Ogilvie
Boyfriend Dungeon ,RPG,6,Miranda Sanchez
Axiom Verge 2 ,Platformer,7,Tristan Ogilvie
Assassin's Creed Valhalla: The Siege of Paris ,Adventure,6,Jarrett Green
Grime ,Platformer,9,David Wildgoose
Tribes of Midgard ,RPG,7,Leana Hafer
Boomerang X ,Shooter,8,Seth G. Macy
Pokemon Unite ,RPG,6,Sam Stewart
Eldest Souls ,Platformer,8,Joseph Knoop
The Ascent ,Shooter,7,Ryan McCaffrey
Observer: System Redux ,Adventure,8,Sarah LeBoeuf
The Forgotten City ,Adventure,9,Gabriel Moss
Samurai Warriors 5 ,Action,7,Alex Santa Maria
Cris Tales ,RPG,7,Travis Northup
Last Stop ,Adventure,6,Tristan Ogilvie
Death's Door ,RPG,9,Brendan Graeber
"Warhammer 40,000: Battlesector ",Strategy,8,Jon Bolding
Wildermyth ,RPG,9,Rowan Kaiser 
The Legend of Zelda: Skyward Sword HD ,Adventure,8,Travis Northup
Old World ,Strategy,8,Leana Hafer
Roguebook ,RPG,7,Cam Shea
Sniper Elite VR ,Shooter,6,Gabriel Moss
F1 2021 ,Racing,8,Luke Reilly
Monster Hunter Stories 2: Wings of Ruin ,RPG,8,Casey DeFreitas
Mass Effect Legendary Edition  Part 2: Mass Effect 2,RPG,9,Dan Stapleton
Scarlet Nexus ,RPG,8,Mitchell Saltzman
Mario Golf: Super Rush ,Sports,6,Simon Cardy
Legend of Mana ,RPG,7,Seth G. Macy
Dungeons & Dragons: Dark Alliance ,RPG,4,Travis Northup
Chivalry 2 ,RPG,9,Leana Hafer
Sniper Ghost Warrior Contracts 2 ,Shooter,6,Tristan Ogilvie
Final Fantasy 7 Remake: Intergrade - Episode: INTERmission ,RPG,8,Mitchell Saltzman
Griftlands ,RPG,9,Travis Northup
The Elder Scrolls Online: Blackwood ,RPG,7,Gabriel Moss
Operation: Tango ,Adventure,7,Luke Reilly
Warhammer Age of Sigmar: Storm Ground ,Strategy,5,Jon Bolding
Ratchet and Clank: Rift Apart ,Platformer,9,Jonathon Dornbush
Wonder Boy: Asha in Monster World ,Platformer,5,Alex Santa Maria
Necromunda: Hired Gun ,Shooter,5,Travis Northup
Knockout City ,Sports,9,Jarrett Green
Iron Harvest: Operation Eagle ,Strategy,7,Jon Bolding
Biomutant ,Adventure,6,Luke Reilly
Mass Effect Legendary Edition  Part 1: Mass Effect,RPG,8,Dan Stapleton
Just Die Already ,Action,5,Jarrett Green
Hood: Outlaws & Legends ,Action,6,Travis Northup
Assassin's Creed Valhalla: Wrath of the Druids ,Adventure,7,Jarrett Green
Subnautica: Below Zero ,Adventure,9,Leana Hafer
Returnal ,Shooter,8,Mitchell Saltzman
Total War: Rome Remastered ,Strategy,7,Leana Hafer
New Pokémon Snap ,Action,8,Rebekah Valentine
MotoGP 21 ,Racing,7,Luke Reilly
NieR Replicant Ver. 1.22474487139 ,RPG,8,Mitchell Saltzman
MLB The Show 21 ,Sports,8,Gabriel Moss
Outriders ,Shooter,7,Jon Ryan
